"Date","Open","High","Low","Close","Volume"
"10/17/2025","180.18","184.1","179.75","183.22","173,135,200"
"10/16/2025","182.23","183.28","179.77","181.81","179,723,300"
"10/15/2025","184.8","184.87","177.29","179.83","214,450,500"
"10/14/2025","184.77","184.8","179.7","180.03","205,641,400"
"10/13/2025","187.965","190.1099","185.96","188.32","153,482,800"
"10/10/2025","193.505","195.62","182.05","183.16","268,774,400"
"10/09/2025","192.225","195.3","191.06","192.57","182,997,200"
"10/08/2025","186.57","189.6","186.54","189.11","130,168,900"
"10/07/2025","186.23","189.06","184","185.04","140,088,000"
"10/06/2025","185.5","187.23","183.33","185.54","157,678,100"
"10/03/2025","189.19","190.36","185.38","187.62","137,596,900"
"10/02/2025","189.6","191.05","188.06","188.89","136,805,800"
"10/01/2025","185.24","188.14","183.9","187.24","173,844,900"
"09/30/2025","182.08","187.35","181.48","186.58","236,981,000"
"09/29/2025","180.425","184","180.32","181.85","193,063,500"
"09/26/2025","178.17","179.77","174.93","178.19","148,573,700"
"09/25/2025","174.48","180.26","173.125","177.69","191,586,700"
"09/24/2025","179.77","179.78","175.4","176.97","143,564,100"
"09/23/2025","181.97","182.42","176.21","178.43","192,559,600"
"09/22/2025","175.3","184.55","174.7053","183.61","269,637,000"
"09/19/2025","175.77","178.08","175.18","176.67","237,182,100"
"09/18/2025","173.98","177.1","172.96","176.24","191,763,300"
"09/17/2025","172.64","173.2","168.41","170.29","211,843,800"
"09/16/2025","177","177.5","174.38","174.88","140,737,800"
"09/15/2025","175.67","178.85","174.51","177.75","147,061,600"
"09/12/2025","177.77","178.595","176.45","177.82","124,911,000"
"09/11/2025","179.68","180.28","176.48","177.17","151,159,300"
"09/10/2025","176.64","179.29","175.47","177.33","226,852,000"
"09/09/2025","169.09","170.98","166.7401","170.76","157,548,400"
"09/08/2025","167.55","170.96","167.35","168.31","163,769,100"
"09/05/2025","168.03","169.03","164.07","167.02","224,441,400"
"09/04/2025","170.57","171.86","169.41","171.66","141,670,100"
"09/03/2025","171.06","172.41","168.875","170.62","164,424,900"
"09/02/2025","170","172.379","167.22","170.78","231,164,900"
"08/29/2025","178.11","178.15","173.145","174.18","243,257,900"
"08/28/2025","180.82","184.47","176.41","180.17","281,787,800"
"08/27/2025","181.98","182.49","179.1","181.6","235,518,900"
"08/26/2025","180.055","182.39","178.81","181.77","168,688,200"
"08/25/2025","178.35","181.91","176.57","179.81","163,012,800"
"08/22/2025","172.61","178.59","171.2","177.99","172,789,400"
"08/21/2025","174.85","176.9","173.81","174.98","140,040,900"
"08/20/2025","175.165","176","168.801","175.4","215,142,700"
"08/19/2025","182.43","182.5","175.49","175.64","185,229,200"
"08/18/2025","180.6","182.9375","180.59","182.01","132,008,000"
"08/15/2025","181.88","181.9","178.0417","180.45","156,602,200"
"08/14/2025","179.75","183.02","179.46","182.02","129,554,000"
"08/13/2025","182.615","183.97","179.35","181.59","179,871,700"
"08/12/2025","182.96","184.48","179.46","183.16","145,729,200"
"08/11/2025","182.05","183.84","180.25","182.06","138,323,200"
"08/08/2025","181.55","183.3","180.4","182.7","123,396,700"
"08/07/2025","181.57","183.88","178.795","180.77","151,878,400"
"08/06/2025","176.325","179.9","176.25","179.42","137,192,300"
"08/05/2025","179.62","180.26","175.9","178.26","156,407,600"
"08/04/2025","175.16","180.2","174.52","180","148,174,600"
"08/01/2025","174.09","176.54","170.89","173.72","204,529,000"
"07/31/2025","182.9","183.3","175.93","177.87","221,685,400"
"07/30/2025","176.51","179.89","176.04","179.27","174,312,200"
"07/29/2025","177.96","179.38","175.02","175.51","154,077,500"
"07/28/2025","174.02","177","173.97","176.75","140,023,500"
